  Prop: KP458 for KVLCC and KVLCC2
  Number of Blade: 4
  Section Profile: NACA 2412 (Modified NACA66 + a=0.8 mean line Camber)
      (note) Details of KH40 section can not be disclosed.
             However, it can be replaced by NACA66 section for CFD purpose.
  Scale ratio: 58.0
  Propeller Diameter: 9.86 m
  Hub Ratio: 0.155

 r/R      P/D       Rake     Skew(��)     C/D       fo/C       to/D
0.155   0.576543   0.0000     -2.525   0.151495   0.031264   0.046806
0.250   0.613000   0.0000     -4.000   0.177166   0.034908   0.042166
0.300   0.631000   0.0000     -4.400   0.189166   0.035621   0.038516
0.400   0.663000   0.0000     -4.400   0.209334   0.033798   0.032016
0.500   0.691500   0.0000     -3.150   0.224666   0.029334   0.026016
0.600   0.712000   0.0000     -0.820   0.233500   0.024984   0.020550
0.700   0.721200   0.0000      2.490   0.233834   0.021895   0.015600
0.800   0.716000   0.0000      6.350   0.219166   0.019797   0.011050
0.900   0.692700   0.0000     10.760   0.180834   0.016147   0.007000
0.950   0.674800   0.0000     13.150   0.142166   0.012805   0.004717
1.000   0.651000   0.0000     16.750   0.000016   0.012805   0.003200
